type,isolate,protein,oil,total_density,bone_density,bone_volume,total_volume,repetitions,std_protein,std_oil,std_total_density,std_bone_density,std_bone_volume,std_total_volume,pc1,pc2,pc3,pc4,time_point,angle,camera_id
collaborator,x4_Rm2-Lo_503-BR-1,31.2534974342038,23.5254256992458,1.31813166985419,1.38090506776859,113.989528439583,174.354392437954,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_503-BR-3,32.614009809226,23.1273272188879,1.28225730804576,1.41205902988543,116.97174415685,181.392448809281,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_503-BR-4,34.086620047417,22.6700397571256,1.16357871486,1.4085312427736,132.681370356596,227.952621662153,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_503-BR-5,33.0127255223242,25.3199457373274,1.31154861000458,1.38177563124752,121.62078761425,183.396156829836,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_503-BR-6,31.5594641519027,22.7617015566251,1.29810036447038,1.38100979534503,111.775771398756,173.39538935028,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_503-MS-1,32.6599295298218,24.97918905214,1.35783307772629,1.38776842060817,123.851747205678,181.541101517156,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_503-MS-3,34.4535438618061,24.0923060613426,1.33425322825813,1.42123390487887,129.907555300914,192.017857771752,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_503-MS-4,34.4318205561029,24.2135294264771,1.20349063824225,1.42645058836311,135.361677842043,223.747024365422,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_503-MS-5,35.8399249740738,24.1028724667652,1.35693943773771,1.41464000300382,143.565729397069,205.548666707673,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_503-MS-6,36.09216425402,25.567632405191,1.35269498577897,1.40667743453942,138.893177653529,202.278326828882,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_504-BR-1,32.4512655663888,22.5499409706135,1.22616281605418,1.37620068023542,107.416407304417,182.767627081196,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_504-BR-2,30.3919410497347,22.0544866004566,1.21062111198912,1.36507342723826,96.8632524428424,168.645432836189,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_504-BR-3,29.8356931948755,23.1506998548132,1.22283659713815,1.35143547688724,102.128577337453,175.712179428903,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_504-BR-4,28.572918702191,21.3978935027785,1.25441167165566,1.36672291098125,91.0826103680949,153.450180707006,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_504-BR-5,30.1318159223748,21.6807072853709,1.22206177910432,1.35520822937339,90.7370649506283,164.420236118164,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_504-MS-1,33.8726083050625,23.6134155424504,1.25780910943096,1.38342941479523,116.674723800494,191.46901959905,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_504-MS-2,32.3040812869574,22.6915160492141,1.25144180230837,1.37324554004756,110.129756582529,182.860019602307,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_504-MS-3,30.6766370468712,24.8478797698299,1.26302831876491,1.35900923607025,111.244583208246,181.457129460743,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_504-MS-4,31.6182444158933,24.1131102474989,1.25760766986419,1.36464906190364,113.011924189331,184.876204514099,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_504-MS-5,31.0389894386694,24.3178120824635,1.25506278091789,1.36752997837198,112.575374530975,185.031443459833,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_Mav-BR-1,31.2631669780124,22.7938966821566,1.26931306945699,1.37714970393251,92.4341070132713,149.416905867815,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_Mav-BR-3,31.5475390759556,23.8458220806869,1.28421460625826,1.38048363764277,98.7621040742898,161.376268847452,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_Mav-BR-4,33.8502549305311,23.0190899705152,1.37319077838626,1.39992905982552,134.813852429347,193.334331113872,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_Mav-BR-5,33.5682227460955,26.0181274793111,1.38184897648523,1.40954973534988,134.951573760192,190.632231976448,1.0612244897959184,3.17207715787952,0.530807788175177,0.0432038766043047,0.015294673351629,14.3946230103628,19.4241038303227,,,,,,,
collaborator,x4_Rm2-Lo_Mav-BR-6,33.2116009242827,24.3097989251336,1.30256373854766,1.37004272185656,127.772355045976,193.729650939212,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_Mav-MS-1,34.285671835037,26.9006723933535,1.31368079197112,1.36827707164287,120.09383219055,180.485804041826,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_Mav-MS-3,34.950903793139,26.3017063081078,1.35439923711549,1.3882440184818,128.35733319282,190.03317420926,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_Mav-MS-4,33.794123572173,22.7708011375691,1.39632856270537,1.41277029058367,127.983123401603,180.843549371787,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_Mav-MS-5,31.1269909863834,23.6056121170227,1.33713459981289,1.39201265807429,110.75462368492,164.200455176347,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm2-Lo_Mav-MS-6,32.4573398743534,24.9209210043533,1.37082561922222,1.38981724991451,135.551824278818,191.393012769446,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm3-Hi_501-BR-1,27.6966690288902,17.7740691653309,1.24556874027217,1.43529060091319,116.679077126873,182.669496528369,1.00000000000000000000,,,,,,,,,,,,,
collaborator,x4_Rm3-Hi_501-BR-3,31.363889908555,17.1481963966457,1.24725232689628,1.44714817171156,101.821711246171,177.025520591251,1.00000000000000000000,,,,,,,,,,,,,
