kernel_id,type,isolate,plate_name,protein,oil,total_density,bone_density,bone_volume,total_volume,repetitions,std_protein,std_oil,std_total_density,std_bone_density,std_bone_volume,std_total_volume,pc1,pc2,pc3,pc4
51600,calibration,cal-45,cal-45,14.8735404784701,9.4490369009937,1.41776477358083,1.58629563488046,122.00272057754,143.072502351212,5,0.945067802860017,2.02587033642498,0.0387047526899343,0.0321949996612728,21.63781606882,25.0194237395639,,,,
52169,NAM_parents,CML069,07S-2050-05B,14.4242006721981,4.85390549047863,1.49558590238662,1.58418392375061,191.776569937668,208.30902886363,3,1.73274079945169,2.22618258219735,0.0340333702954294,0.0488389633254615,31.6794939720879,39.0019042815973,,,,
52085,NAM_parents,CML052,07S-2049-02B,12.5684399267934,2.18407404721983,1.51698308567904,1.57970010451159,210.988234838138,226.236511792343,4,1.31471026558265,0.405968604164209,0.0827926263785601,0.0562625094791264,17.761729042649,20.3884576913433,,,,
51799,NAM_parents,W22^ACR,04S-5253-07A,12.4235876211756,3.80003816803631,1.40674919314934,1.5389582000249,168.128638345019,194.1969472344,4,0.224685072736494,0.967308810292166,0.0673817509219603,0.049540108676936,7.93537426344224,12.0530372103008,,,,
51736,calibration,cal-48,cal-48,12.7613596468482,2.27739497638672,1.36866903616406,1.5101058665082,59.7902908124837,69.2597774744115,5,1.06798448876116,0.759723253887987,0.0191122421327334,0.0554856129797028,32.5202437995333,40.8658985103948,,,,
51547,calibration,cal-44,cal-44,11.1749866459369,2.61770064436886,1.47210826703102,1.5839193431273,192.824450521219,211.460434370767,5,1.21407235189638,0.637059233938272,0.0435045782921854,0.0123171936358015,23.424698547274,31.8557943208145,,,,
51651,calibration,cal-46,cal-46,12.8008923138916,3.69791060779837,1.28883852282106,1.49171178598555,174.909942995079,207.969686891609,5,1.27145823253341,0.665955831578849,0.02992182215007,0.0159422130971355,21.6792453262315,27.7663115761311,,,,
51794,NAM_parents,W22^ACR,04S-5253-07A,12.257698843736,2.80939353321866,1.40178267290297,1.50773590420364,184.900566080968,211.492922747314,4,0.398675993680619,0.447573114331189,0.0502376172323494,0.0215087284564629,17.24802550027,28.2198814084181,,,,
52336,NAM_parents,CML228,07S-2052-01A,13.0589100973234,3.89348855329158,1.42632095354325,1.5267349551656,158.760164970965,174.425315711747,4,1.99724948098752,1.38053763313158,0.0544198580991242,0.035911819671056,4.61818656591906,5.70450727484649,,,,
52165,NAM_parents,CML069,07S-2050-05A,12.7238940030666,3.32665963590026,1.56537965104812,1.59248092785503,190.680608228326,199.679696173089,4,1.73628846778539,1.41131532719233,0.0408356141759935,0.0318544136181872,13.3330178209192,19.559030614682,,,,
51618,calibration,cal-45,cal-45,12.148435958083,1.93951004848023,1.38971774782661,1.54561067354924,232.129478573035,265.549822768623,5,0.708537921897308,0.326925715929974,0.0380524324766793,0.0251834907868994,19.7214977502282,18.1802585735365,,,,
